Item Code,Count 1,Count 2,Count 3,Theoretical
CLV-PH,0.00,0.00,0.00,0.00
CLV-PH-BRN,0.00,0.00,0.00,0.00
CLV-RBR,141.00,141.00,141.00,141.00
CLV-RH,14.00,14.00,14.00,11.00
CLV-RH-BRN,0.00,0.00,0.00,0.00
CLV-SIDK-3000,1.00,1.00,1.00,2.00
CLV-SIDK-6000,2.00,2.00,2.00,2.00
CLV-SIDK-6000BR,0.00,0.00,0.00,0.00
CLV-SIDK-6000CH,0.00,0.00,0.00,0.00
CLV-SIDK-6000N,0.00,0.00,0.00,0.00
CLV-TOPK-2100,17.00,17.00,17.00,17.00
CLV-TOPK-2100BR,0.00,0.00,0.00,0.00
CLV-TOPK-2400,0.00,0.00,0.00,0.00
CLV-TOPK-2400BR,0.00,0.00,0.00,0.00
CLV-TOPK-3000,7.00,7.00,7.00,7.00
CLV-TOPK-3000BR,0.00,0.00,0.00,0.00
CLV-TOPK-3000N,0.00,0.00,0.00,0.00
CLV-TOPK-3600,0.00,0.00,0.00,0.00
CLV-TOPK-3600BR,0.00,0.00,0.00,0.00
CLV-TOPK-3600CH,0.00,0.00,0.00,0.00
CLV-TOPK-4200,0.00,0.00,0.00,0.00
CLV-TOPK-4200BR,0.00,0.00,0.00,0.00
CLV-TOPK-5100,0.00,0.00,0.00,0.00
CLV-TOPK-5100BR,0.00,0.00,0.00,0.00
CLV-TOPK-5100N,0.00,0.00,0.00,0.00
CLV-TOPK-5900,0.00,0.00,0.00,0.00
CLV-TOPK-5900BR,0.00,0.00,0.00,0.00
CLV-TOPK-7200,7.00,7.00,7.00,7.00
CLV-TOPK-7200BR,0.00,0.00,0.00,0.00
CSL-789BR,0.00,0.00,0.00,0.00
CSL-789N,0.00,0.00,0.00,0.00
CSL-789T,920.00,920.00,920.00,129.00
CSL-90COVER,0.00,0.00,0.00,0.00
CSL-90DEG,15.00,15.00,15.00,21.00
CSL-CKIT,0.00,0.00,0.00,0.00
CSL-DBC,213.00,213.00,213.00,214.00
CSL-END,0.00,0.00,0.00,0.00
CSL-END-B,28.00,28.00,28.00,28.00
CSL-END-N,56.00,56.00,56.00,56.00
CSLF-1000B,2.00,2.00,2.00,2.00
CSLF-1000N,4.00,4.00,4.00,3.00
CSLF-1500B,0.00,0.00,0.00,1.00
CSLF-1500N,0.00,0.00,0.00,1.00
CSLF-2000B,97.00,97.00,97.00,109.00
CSLF-2000BR,0.00,0.00,0.00,0.00
CSLF-2000N,1.00,1.00,1.00,1.00
CSLF-2300N,0.00,0.00,0.00,0.00
CSLF-2500B,18.00,18.00,18.00,1.00
CSLF-2500N,0.00,0.00,0.00,1.00
CSLF-2700N,0.00,0.00,0.00,0.00
CSLF-3000B,29.00,29.00,29.00,28.00
CSLF-3000N,3.00,3.00,3.00,1.00
CSLF-3050N,0.00,0.00,0.00,0.00
CSLF-3500N,0.00,0.00,0.00,0.00
CSLF-4100N,1.00,1.00,1.00,0.00
CSLF-5100N,25.00,25.00,25.00,25.00
CSLF-5400N,9.00,9.00,9.00,9.00
CSLF-6100N,14.00,14.00,14.00,14.00
CSLF-M1000,0.00,0.00,0.00,0.00
CSLF-M1050,0.00,0.00,0.00,0.00
CSLF-M1500,0.00,0.00,0.00,0.00
CSLF-M2000,3.00,3.00,3.00,5.00
