Item Code,Bin
ARE-RC-36BR,Metal Bulk 4
ARE-RC-5100CC,Metal Bulk 4
ARE-TR-21BL,Metal Bulk 4
ARE-TR-21BR,Metal Bulk 4
ARE-TR-21CH,Metal Bulk 4
ARE-TR-21N,Metal Bulk 4
ARE-TR-21WH,Metal Bulk 4
ARE-TR-30BL,Metal Bulk 4
ARE-TR-36BR,Metal Bulk 4
ARE-TR-51BR,Metal Bulk 4
ARE-TR-51CH,Metal Bulk 4
ARE-TR-51N,Metal Bulk 4
ARE-TR-51WH,Metal Bulk 4
ARE-TR-72BL,Metal Bulk 4
ARE-TR-72CH,Metal Bulk 4
ARE-TR-72N,Metal Bulk 4
ARE-TR-72WH,Metal Bulk 4
BHDR-2000MB,Metal Bulk 4
BHDR-2500B,Metal Bulk 4
BHDR-3000N,Metal Bulk 4
DLS-HDR-2500N  ,Metal Bulk 4
DLS-HDR-3000B,Metal Bulk 4
DLS-HDR-3000B,Metal Bulk 4
SB25-1500N,Metal Bulk 4
SB25-2000N,Metal Bulk 4
SB25-3000N,Metal Bulk 4
I-CHL-8-20MB,Metal Bulk 4
SB25-6000N,Metal Bulk 4
I-CHL-8-30BR,Metal Bulk 4
I-CHL-8-30N,Metal Bulk 4
SLHR-2500N,Metal Bulk 4
U-CHL-10-20MB,Metal Bulk 4
CLV-SIDK-3000,Metal Bulk 4
CLV-SIDK-3000,Metal Bulk 4
CLV-SIDK-6000,Metal Bulk 4
EHDR-2000B,Metal Bulk 4
EHDR-2500B,Metal Bulk 4
MCP-3001N,Metal Bulk 4
SLHR-3000B,Metal Bulk 4
SLHR-3000N,Metal Bulk 4
EHDR-3000B,Metal Bulk 4
I-CHL-8-30B,Metal Bulk 4
SLHR-2500B,Metal Bulk 4
ARE-BL-M3000,Metal Bulk 5
ARE-CC-51N,Metal Bulk 5
ARE-CC-M5100,Metal Bulk 5
ARE-EP-M3150,Metal Bulk 5
ARE-RB-M2100,Metal Bulk 5
ARE-RB-M3000,Metal Bulk 5
