Code,Bin Name,COUNT 1,COUNT 2,COUNT 3
IS-180-10,Loose Seals,,,
IS-180-12,Bulk Seals,,,
IS-180-12,Loose Seals,,,
IS-180-8,Bulk Seals,,,
IS-180-8,Loose Seals,,,
IS-90-8,Bulk Seals,,,
IS-90-8,Loose Seals,,,
OXB-11-19,Bulk Seals,,,
OXB-11-19,Loose Seals,,,
OXB-1-19,Bulk Seals,,,
OXB-1-19,Loose Seals,,,
RSM090-08B,Bulk Seals,,,
RSM090-08B,Loose Seals,,,
RSM090-10B,Bulk Seals,,,
RSM090-10B,Loose Seals,,,
RSS-008A-10,Bulk Seals,,,
RSS-008A-10,Loose Seals,,,
RSS-008A-6,Loose Seals,,,
RSS-008A-6,Bulk Seals,,,
RSS-008A-8,Bulk Seals,,,
RSS-008A-8,Loose Seals,,,
OXB-12,Bulk Seals,,,
OXB-12,Loose Seals,,,
TSS-001-10,Bulk Seals,,,
TSS-001-10,Loose Seals,,,
TSS-001-12,Bulk Seals,,,
TSS-001-12,Loose Seals,,,
TSS-001-8,Bulk Seals,,,
TSS-001-8,Loose Seals,,,
TSS-001-8-5,Bulk Seals,,,
TSS-001-8-5,Loose Seals,,,
TSS-002-8,Bulk Seals,,,
TSS-002-8,Loose Seals,,,
TSS-003-10,Bulk Seals,,,
TSS-003-10,Loose Seals,,,
TSS-003-10-2,Bulk Seals,,,
TSS-003-10-2,Loose Seals,,,
TSS-003-10-22,Bulk Seals,,,
TSS-003-10-22,Loose Seals,,,
TSS-003-8,Bulk Seals,,,
TSS-003-8,Loose Seals,,,
TSS-003-8-10,Bulk Seals,,,
TSS-003-8-10,Loose Seals,,,
TSS-003-8-22,Bulk Seals,,,
TSS-003-8-22,Loose Seals,,,
TSS-003A-10,Bulk Seals,,,
TSS-003A-10,Loose Seals,,,
TSS-003A-8,Bulk Seals,,,
TSS-003A-8,Loose Seals,,,
TSS-004-10,Bulk Seals,,,
TSS-004-10,Loose Seals,,,
TSS-004-8,Bulk Seals,,,
TSS-004-8,Loose Seals,,,
TSS-004-8-12,Bulk Seals,,,
TSS-004-8-12,Loose Seals,,,
TSS-004-8-24,Bulk Seals,,,
TSS-004-8-24,Loose Seals,,,
TSS-005-10,Bulk Seals,,,
TSS-005-10,Loose Seals,,,
TSS-005-6,Bulk Seals,,,
TSS-005-6,Loose Seals,,,
TSS-005-8,Bulk Seals,,,
TSS-005-8,Loose Seals,,,
TSS-005A-10,Bulk Seals,,,
TSS-005A-10,Loose Seals,,,
TSS-005A-8,Bulk Seals,,,
TSS-005A-8,Loose Seals,,,
TSS-005D-10,Bulk Seals,,,
TSS-005D-10,Loose Seals,,,
TSS-006-8,Bulk Seals,,,
TSS-006-8,Loose Seals,,,
TSS-007-10,Bulk Seals,,,
TSS-007-10,Loose Seals,,,
TSS-007-12,Bulk Seals,,,
TSS-007-12,Loose Seals,,,
TSS-007-8,Bulk Seals,,,
TSS-007-8,Loose Seals,,,
TSS-009-8,Bulk Seals,,,
TSS-009-8,Loose Seals,,,
TSS-009A-10,Bulk Seals,,,
TSS-009A-10,Loose Seals,,,
TSS-009B1-10,Bulk Seals,,,
TSS-009B1-10,Loose Seals,,,
TSS-009B1-12,Bulk Seals,,,
TSS-009B1-12,Loose Seals,,,
TSS-009B1-6,Bulk Seals,,,
TSS-009B1-6,Loose Seals,,,
TSS-009B1-8,Bulk Seals,,,
TSS-009B1-8,Loose Seals,,,
TSS-011A-10,Bulk Seals,,,
TSS-011A-10,Loose Seals,,,
TSS-011A-8,Bulk Seals,,,
TSS-011A-8,Loose Seals,,,
TSS-011B-10,Bulk Seals,,,
TSS-011B-10,Loose Seals,,,
TSS-011B-8,Loose Seals,,,
TSS-011B-8,Bulk Seals,,,
TSS-011C-10,Bulk Seals,,,
TSS-011C-10,Loose Seals,,,
TSS-011C-6,Bulk Seals,,,
TSS-011C-6,Loose Seals,,,
TSS-011C-8,Bulk Seals,,,
TSS-011C-8,Loose Seals,,,
TSS-012A-8,Bulk Seals,,,
TSS-012A-8,Loose Seals,,,
TSS-015D-10,Bulk Seals,,,
TSS-015D-10,Loose Seals,,,
TUV-001-12,Bulk Seals,,,
TUV-001-12,Loose Seals,,,
TUV-003-12,Bulk Seals,,,
TUV-003-12,Loose Seals,,,
TUV-003A-12,Loose Seals,,,
TUV-003A-12,Bulk Seals,,,
TUV-007-12,Bulk Seals,,,
TUV-007-12,Loose Seals,,,
TUV-04A-12,Bulk Seals,,,
TUV-04A-12,Loose Seals,,,
GC-791,Hardware 4,,,
GC-791,Bulk Hardware 1,,,
GC-791,Bulk Hardware 2,,,
GC-792,Hardware 4,,,
GC-792,Bulk Hardware 1,,,
GC-792,Bulk Hardware 2,,,
GC-794,Hardware 4,,,
GC-794,Bulk Hardware 1,,,
GC-794,Bulk Hardware 2,,,
GC-795,Hardware 4,,,
GC-795,Bulk Hardware 1,,,
GC-795,Bulk Hardware 2,,,
GC-796,Hardware 4,,,
GC-796,Bulk Hardware 1,,,
